wave,flux
5217.26025390625,6.277444328866354e-17
5218.51025390625,6.394571021103277e-17
5219.76025390625,6.618345723966273e-17
5221.01025390625,6.704998033849203e-17
5222.26025390625,6.718940712905512e-17
5223.51025390625,6.678355380546756e-17
5224.76025390625,6.574260623838843e-17
5226.01025390625,6.285447177793922e-17
5227.26025390625,5.896046733577077e-17
5228.51025390625,5.998136636501405e-17
5229.76025390625,6.354151851747094e-17
5231.01025390625,6.485793352080555e-17
5232.26025390625,6.451753783435355e-17
5233.51025390625,6.28681968502882e-17
5234.76025390625,6.237474705393722e-17
5236.01025390625,6.347102421830339e-17
5237.26025390625,6.489865154359399e-17
5238.51025390625,6.593539581298827e-17
5239.76025390625,6.626466647636599e-17
5241.01025390625,6.636386632407583e-17
5242.26025390625,6.605193532431998e-17
5243.51025390625,6.544041560847585e-17
5244.76025390625,6.59515427826672e-17
5246.01025390625,6.65298803152689e-17
5247.26025390625,6.600476344410965e-17
5248.51025390625,6.533964896225347e-17
5249.76025390625,6.512350556536418e-17
5251.01025390625,6.441411042376261e-17
5252.26025390625,6.47917480803699e-17
5253.51025390625,6.532816427463438e-17
5254.76025390625,6.49758343952458e-17
5256.01025390625,6.481192523118926e-17
5257.26025390625,6.60129932050007e-17
5258.51025390625,6.674583931527487e-17
5259.76025390625,6.679571543251596e-17
5261.01025390625,6.587371942659703e-17
5262.26025390625,6.325114927710556e-17
5263.51025390625,6.078695886379335e-17
5264.76025390625,5.958681857969703e-17
5266.01025390625,5.877101078312571e-17
5267.26025390625,5.994919886519269e-17
5268.51025390625,6.197176648767984e-17
5269.76025390625,5.996026651522008e-17
5271.01025390625,5.842015446732683e-17
5272.26025390625,6.164892422187618e-17
5273.51025390625,6.31873552275867e-17
5274.76025390625,6.234740094812905e-17
5276.01025390625,6.167892992345297e-17
5277.26025390625,6.290327694404415e-17
5278.51025390625,6.56079799484625e-17
5279.76025390625,6.603061642530487e-17
5281.01025390625,6.491470806214867e-17
5282.26025390625,6.358160843267673e-17
5283.51025390625,6.250741497505001e-17
5284.76025390625,6.227202785584985e-17
5286.01025390625,6.458985827562285e-17
5287.26025390625,6.635179450802687e-17
5288.51025390625,6.630612421175328e-17
5289.76025390625,6.62410049475693e-17
5291.01025390625,6.666910480778392e-17
5292.26025390625,6.643697773631026e-17
5293.51025390625,6.613227767200004e-17
5294.76025390625,6.597489392164277e-17
5296.01025390625,6.561979395424448e-17
5297.26025390625,6.373376374407511e-17
5298.51025390625,6.233041451058737e-17
5299.76025390625,6.335016860217583e-17
5301.01025390625,6.501595090912609e-17
5302.26025390625,6.458866123106421e-17
5303.51025390625,6.467495662037919e-17
5304.76025390625,6.580420002634932e-17
5306.01025390625,6.622644384988925e-17
5307.26025390625,6.551031509027248e-17
5308.51025390625,6.529686869551496e-17
5309.76025390625,6.605678784998452e-17
5311.01025390625,6.670654043802401e-17
