wave,flux
5272.26025390625,6.035413262363649e-17
5273.51025390625,6.044833617933741e-17
5274.76025390625,5.999218899708874e-17
5276.01025390625,5.951616823131633e-17
5277.26025390625,6.203670982619952e-17
5278.51025390625,6.367446965055645e-17
5279.76025390625,6.3163486398373e-17
5281.01025390625,6.175870813103442e-17
5282.26025390625,6.063084807888966e-17
5283.51025390625,5.917582349784419e-17
5284.76025390625,6.018499815397443e-17
5286.01025390625,6.27049966096698e-17
5287.26025390625,6.316698471472398e-17
5288.51025390625,6.30332879316222e-17
5289.76025390625,6.32646867111494e-17
5291.01025390625,6.324858879693949e-17
5292.26025390625,6.345029768803435e-17
5293.51025390625,6.28118214975033e-17
5294.76025390625,6.24162167980266e-17
5296.01025390625,6.201930602106059e-17
5297.26025390625,6.000038763773216e-17
5298.51025390625,5.965392217211454e-17
5299.76025390625,6.155686709306824e-17
5301.01025390625,6.218451784299455e-17
5302.26025390625,6.164692944566258e-17
5303.51025390625,6.274111393536261e-17
5304.76025390625,6.358089303070643e-17
5306.01025390625,6.309525259456995e-17
5307.26025390625,6.207871807285525e-17
5308.51025390625,6.265637526717276e-17
5309.76025390625,6.358309857753538e-17
5311.01025390625,6.395074019061395e-17
5312.26025390625,6.40733038641012e-17
5313.51025390625,6.325075992339513e-17
5314.76025390625,6.298091004224092e-17
5316.01025390625,6.148582509051629e-17
5317.26025390625,6.092259236461711e-17
5318.51025390625,6.239300160879459e-17
5319.76025390625,6.365779834329857e-17
5321.01025390625,6.338270447007665e-17
5322.26025390625,6.254885155559035e-17
5323.51025390625,6.09743454635908e-17
5324.76025390625,6.002407796492665e-17
5326.01025390625,6.065282525404444e-17
5327.26025390625,5.924849703230947e-17
5328.51025390625,5.641288194303692e-17
5329.76025390625,5.86899746427716e-17
5331.01025390625,6.227707071325915e-17
5332.26025390625,6.211031721928434e-17
5333.51025390625,6.210856737705446e-17
5334.76025390625,6.293358955354511e-17
5336.01025390625,6.276816138386277e-17
5337.26025390625,6.206861689038546e-17
5338.51025390625,6.214281244587449e-17
5339.76025390625,6.087853515740161e-17
5341.01025390625,5.963461660248377e-17
5342.26025390625,6.081367510986328e-17
5343.51025390625,6.233532229786998e-17
5344.76025390625,6.235731912404187e-17
5346.01025390625,6.130153828746868e-17
5347.26025390625,6.144487128261351e-17
5348.51025390625,6.101825948578457e-17
5349.76025390625,6.055821661376953e-17
5351.01025390625,6.201637270254459e-17
5352.26025390625,6.236801568258033e-17
5353.51025390625,6.159421618306861e-17
